start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
AIRPORT,RUNWAY,LENGTH,LATITUDE,LONGITUDE,ELEVATION,WIDTH,LANDING_LATITUDE,LANDING_LONGITUDE,LANDING_ELEVATION
PANT,30,7493,55.03295983333333,-131.5687499722222,99.0,150,,,
Z43,NW,10560,,,0.0,1500,,,
Z43,SE,10560,,,0.0,1500,,,
PANV,17,4000,62.6527635,-160.1887443611111,290.4,75,,,
PANV,35,4000,62.64189247222222,-160.19138380555555,297.3,75,,,
K40,E,2000,,,,500,,,
K40,W,2000,,,,500,,,
PARC,02,4500,68.11028888888889,-145.59098333333333,2077.0,75,,,
PARC,20,4500,68.11905,-145.5678472222222,2092.0,75,,,
PAAK,16,4500,52.22653611111111,-174.208775,56.7,100,,,
PAAK,34,4500,52.214619444444445,-174.20363333333333,34.2,100,,,
4A2,15,3000,60.87186180555556,-162.27626880555556,18.0,75,,,
4A2,33,3000,60.863889388888886,-162.27227844444442,19.2,75,,,
PATQ,06,4370,70.46618063888889,-157.45328455555557,100.8,90,,,
PATQ,24,4370,70.46804313888889,-157.41804116666665,98.9,90,,,
PAAT,02,5998,52.82485555555556,173.17076944444446,54.7,150,,,
PAAT,20,5998,52.84022777777778,173.18033888888888,88.4,150,,,
BNF,E,10000,,,0.0,1000,,,
BNF,W,10000,,,0.0,1000,,,
PABR,07,7100,71.28486819444444,-156.79877686111112,48.6,150,71.28486977777777,-156.79367280555556,48.7
PABR,25,7100,71.28487797222222,-156.73837161111112,37.4,150,71.28487788888889,-156.74347644444444,39.1
PABA,07,4818,70.13432783333333,-143.60119255555557,8.7,100,,,
PABA,25,4818,70.13364833333333,-143.56253816666666,6.3,100,,,
BQV,NW,10000,,,0.0,4000,,,
BQV,SE,10000,,,0.0,4000,,,
Z47,16,2000,64.68180555555556,-165.30000833333335,143.0,60,,,
Z47,34,2000,64.67637500000001,-165.29839444444443,137.0,60,,,
AK02,10,1400,,,,65,,,
AK02,28,1400,,,,65,,,
Z48,15,1800,,,,25,,,
Z48,33,1800,,,,25,,,
Z52,09,1325,,,,30,,,
Z52,27,1325,,,,30,,,
Z52,18,820,,,,20,,,
Z52,36,820,,,,20,,,
PAWB,05,3934,66.36061558333333,-147.41928755555554,363.5,75,,,
PAWB,23,3934,66.36382252777778,-147.39371791666667,364.1,75,,,
KBE,NE,10600,,,0.0,2600,,,
KBE,SW,10600,,,0.0,2600,,,
PABG,01,5002,61.166722222222226,-151.0496861111111,76.3,100,,,
PABG,19,5002,61.17873888888889,-151.03613888888887,71.0,100,,,
PABG,09,2505,61.174480555555554,-151.05716111111113,86.7,60,,,
PABG,27,2505,61.17236666666666,-151.04366666666667,73.9,60,,,
Z58,N,2600,,,17.0,1500,,,
Z58,S,2600,,,17.0,1500,,,
Z59,NE,3000,,,15.0,500,,,
Z59,SW,3000,,,15.0,500,,,
PABE,01L,6400,60.77176911111111,-161.8435035,127.2,150,,,
PABE,19R,6400,60.78782747222222,-161.82924852777776,102.2,150,,,
PABE,01R,4000,60.77100663888889,-161.83991691666668,122.1,75,,,
PABE,19L,4000,60.78104205555556,-161.8310055277778,116.8,75,,,
PABE,12,1858,60.78131605555556,-161.8476806666667,125.6,75,,,
PABE,30,1858,60.77815044444445,-161.83954988888888,126.8,75,,,
PABT,01,5190,66.907945,-151.53868975,635.3,150,,,
PABT,19,5190,66.91993744444444,-151.51939533333334,647.3,150,,,
2A4,14W,4100,,,,200,,,
2A4,32W,4100,,,,200,,,
85AK,09W,3400,,,,200,,,
85AK,27W,3400,,,,200,,,
02AA,03,675,,,,30,,,
02AA,21,675,,,,30,,,
AA01,11W,3800,,,,500,,,
AA01,29W,3800,,,,500,,,
AA02,01W,5500,,,,200,,,
AA02,19W,5500,,,,200,,,
86AK,18W,1150,,,,200,,,
86AK,36W,1150,,,,200,,,
91AK,03W,5000,,,,200,,,
91AK,21W,5000,,,,200,,,
20AK,01,1100,,,,75,,,
20AK,19,1100,,,,75,,,
AK86,04,850,,,,70,,,
AK86,22,850,,,,70,,,
08AK,01,1200,,,,80,,,
08AK,19,1200,,,,80,,,
09AK,06,1300,,,,60,,,
09AK,24,1300,,,,60,,,
PAGQ,07,2450,61.53468333333333,-149.8195638888889,154.9,70,,,
PAGQ,25,2450,61.53468333333333,-149.80552500000002,150.9,70,,,
AK87,H1,50,,,,50,,,
AK87,,50,,,,50,,,
AK95,09,1000,,,,80,,,
AK95,27,1000,,,,80,,,
9AK7,04,1200,,,,100,,,
9AK7,22,1200,,,,100,,,
63AK,15,1200,,,,25,,,
63AK,33,1200,,,,25,,,
D71,01W,5000,,,,400,,,
D71,19W,5000,,,,400,,,
68AK,H1,20,,,,20,,,
